Dataset,study,Subject,FD1,SD1,UP1,FW1,FD2,SD2,UP2,FW2,FD3,SD3,UP3,FW3,FD4,SD4,UP4,FW4,FD5,SD5,UP5,UP6,FW5,SD6,FW6,SD7,UP7,FW7,UP8,gender,age
,,,1,2,4,8,1,1,4,4,4,5,3,5,5,1,3,4,2,2,5,3,5,2,1,3,4,4,2,1,14
,,,2,3,3,7,3,2,4,4,2,4,3,4,2,4,4,1,1,2,2,3,3,2,2,4,2,2,4,1,35
,,,4,3,4,7,4,3,4,5,4,3,4,4,4,3,4,4,4,3,4,2,4,2,3,3,4,4,4,2,21
,,,1,4,4,3,1,2,5,3,2,2,5,5,2,2,4,2,4,4,4,5,2,2,2,2,4,4,5,2,18
,,,4,4,4,8,4,2,5,5,4,1,2,4,5,3,4,4,5,2,5,5,5,4,4,3,2,5,4,2,18
,,,1,5,1,8,1,1,5,5,1,4,5,5,1,5,5,1,1,4,5,5,5,5,1,5,5,5,5,1,6
,,,2,4,4,7,3,2,5,4,4,2,5,3,4,4,5,5,3,2,4,4,4,2,4,3,4,2,5,2,39
,,,2,2,3,8,2,3,4,4,2,3,4,3,2,4,4,3,2,2,3,4,4,3,4,3,2,4,2,1,7
,,,2,3,2,7,2,2,4,4,2,4,4,4,1,3,3,4,3,3,2,3,3,2,4,3,3,4,4,1,21
,,,2,4,2,7,2,2,3,5,2,3,4,4,3,2,4,4,2,4,2,4,3,4,2,3,3,4,3,1,22
,,,1,4,2,7,1,5,4,4,1,3,2,1,1,4,2,4,1,5,2,5,4,4,2,3,3,1,4,1,45
,,,3,4,4,8,4,3,3,4,4,4,4,4,3,4,4,5,3,4,4,2,4,4,5,4,3,4,3,2,26
,,,3,3,3,7,2,4,3,4,3,2,4,4,3,3,4,4,4,3,3,3,4,3,3,3,3,4,3,1,20
,,,2,3,2,7,4,4,3,5,4,3,1,5,4,4,3,5,4,4,4,2,4,2,4,3,2,4,3,2,19
,,,4,3,4,5,3,3,2,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,4,2,2,29
,,,1,4,4,7,2,1,4,4,2,2,3,4,2,2,4,4,2,2,3,4,4,2,3,2,2,4,4,2,38
,,,1,3,3,5,2,3,3,4,1,2,3,3,2,3,3,4,1,3,3,3,3,2,3,3,3,4,3,1,15
,,,2,4,3,3,2,4,2,4,3,4,4,2,2,4,4,3,4,4,2,4,2,2,3,2,3,2,2,2,30
